index,uf_sigla,competen,cod_regsaud,regiao_saude,qtd,tipo,codigo_sigtap,mes,parametro,procedimento,tipo_procedimento,Público,nivel_atencao,quantidade,mês_procedimento_realizado,fk_previsoes
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0301010110,-8,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,282.0,2023-02-01T00:00,73659
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0301010137,-7,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,282.0,2023-03-01T00:00,73659
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0202,-7,1.0,Coleta de exames laboratoriais do primeiro trimestre,Exames,Todas gestantes,APS,282.0,2023-03-01T00:00,73659
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0203,-7,1.0,Coleta de exame citopatológico de colo de útero no primeiro trimestre,Exames,Todas gestantes,APS,282.0,2023-03-01T00:00,73659
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0301010110,-7,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,282.0,2023-03-01T00:00,73659
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0301010137,-6,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,282.0,2023-04-01T00:00,73659
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0301010153,-6,1.0,Avaliação odontológica,Consultas ou Visitas,Todas gestantes,APS,282.0,2023-04-01T00:00,73659
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0205020143,-6,1.0,Ultrassonografia,Exames,Todas gestantes,Especializada,282.0,2023-04-01T00:00,73659
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0301010110,-6,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,282.0,2023-04-01T00:00,73659
73659,SC,2023-10-01T00:00,42013,Serra Catarinense,282.0,Valor observado - teste,0101010010,-6,1.0,Ações Educacionais,Ações Educacionais,Todas gestantes,APS,282.0,2023-04-01T00:00,73659
