index,uf_sigla,competen,cod_regsaud,regiao_saude,qtd,tipo,codigo_sigtap,mes,parametro,procedimento,tipo_procedimento,Público,nivel_atencao,quantidade,mês_procedimento_realizado,fk_previsoes
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0301010110,-8,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,782.0,2022-06-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0301010137,-7,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,782.0,2022-07-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0202,-7,1.0,Coleta de exames laboratoriais do primeiro trimestre,Exames,Todas gestantes,APS,782.0,2022-07-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0203,-7,1.0,Coleta de exame citopatológico de colo de útero no primeiro trimestre,Exames,Todas gestantes,APS,782.0,2022-07-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0301010110,-7,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,782.0,2022-07-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0301010137,-6,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,782.0,2022-08-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0301010153,-6,1.0,Avaliação odontológica,Consultas ou Visitas,Todas gestantes,APS,782.0,2022-08-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0205020143,-6,1.0,Ultrassonografia,Exames,Todas gestantes,Especializada,782.0,2022-08-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0301010110,-6,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,782.0,2022-08-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0101010010,-6,1.0,Ações Educacionais,Ações Educacionais,Todas gestantes,APS,782.0,2022-08-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0301010137,-5,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,782.0,2022-09-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0202,-5,1.0,Coleta de exames laboratoriais do segundo trimestre,Exames,Todas gestantes,APS,782.0,2022-09-01T00:00,32483
32483,RJ,2023-02-01T00:00,33009,Serrana,782.0,Valor observado - teste,0301010110,-5,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,782.0,2022-09-01T00:00,32483
